"feedback_id","created_at","source_type","audience_stage","country","text","link_method","language","rating","platform","campaign_id","creative_id"
"SIM-FB-011","2026-09-01T09:00:00.000Z","ad_comment","prospect","BR","Este mesmo anúncio aparece muitas vezes por dia no meu feed.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-012","2026-09-02T10:00:00.000Z","ad_comment","prospect","BR","Já vi esse vídeo repetido tantas vezes que nem presto atenção.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-013","2026-09-03T11:00:00.000Z","ad_comment","prospect","BR","A frequência deste anúncio está muito alta, sempre o mesmo retrato.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-014","2026-09-04T12:00:00.000Z","ad_comment","prospect","BR","O mesmo vídeo de edição de fotos aparece de novo a cada pausa.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-015","2026-09-05T13:00:00.000Z","ad_comment","prospect","BR","Por favor variem o anúncio, vejo essa demonstração repetidamente.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-016","2026-09-06T14:00:00.000Z","ad_comment","prospect","BR","Estou cansado de ver a mesma propaganda de retratos todos os dias.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-017","2026-09-07T15:00:00.000Z","ad_comment","prospect","BR","Já conheço esse vídeo inteiro de tanto que ele se repete no feed.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-018","2026-09-01T16:00:00.000Z","ad_comment","prospect","BR","Recebo o mesmo anúncio muitas vezes mesmo depois de ignorar.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-019","2026-09-02T17:00:00.000Z","ad_comment","prospect","BR","O anúncio promete retratos gratuitos, mas a exportação exige pagamento.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-020","2026-09-03T18:00:00.000Z","ad_comment","prospect","BR","A promessa era remover o fundo de graça, porém essa opção é paga.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-021","2026-09-04T09:00:00.000Z","ad_comment","prospect","BR","O resultado no aplicativo é diferente do retrato perfeito mostrado no anúncio.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-022","2026-09-05T10:00:00.000Z","ad_comment","prospect","BR","A propaganda promete salvar em alta resolução sem custo, mas há assinatura.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-023","2026-09-06T11:00:00.000Z","ad_comment","prospect","BR","O anúncio promete usar todos os filtros, mas quase todos estão bloqueados.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-024","2026-09-07T12:00:00.000Z","ad_comment","prospect","BR","No vídeo prometem edição sem marca de água, mas a versão gratuita tem marca.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-025","2026-09-01T13:00:00.000Z","ad_comment","prospect","BR","O anúncio promete melhorar fotos desfocadas, mas o resultado não corresponde.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-026","2026-09-02T14:00:00.000Z","ad_comment","prospect","BR","Gostei da organização das ferramentas de edição.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-027","2026-09-03T15:00:00.000Z","ad_comment","prospect","BR","Queria saber se existe um filtro para fotos com pouca luz.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-028","2026-09-04T16:00:00.000Z","ad_comment","prospect","BR","A demonstração de troca de fundo ficou interessante.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-PORTRAIT-A"
"SIM-FB-029","2026-08-25T09:00:00.000Z","ad_comment","prospect","BR","Gostei da demonstração do editor de luz.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-LIGHT-B"
"SIM-FB-030","2026-08-26T10:00:00.000Z","ad_comment","prospect","BR","O vídeo mostra bem como ajustar a cor da foto.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-LIGHT-B"
"SIM-FB-031","2026-08-27T11:00:00.000Z","ad_comment","prospect","BR","A ferramenta parece útil para fotos de viagem.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-LIGHT-B"
"SIM-FB-032","2026-09-01T09:00:00.000Z","ad_comment","prospect","BR","O exemplo de iluminação ficou natural.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-LIGHT-B"
"SIM-FB-033","2026-09-02T10:00:00.000Z","ad_comment","prospect","BR","Achei o tutorial de edição bem claro.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-LIGHT-B"
"SIM-FB-034","2026-09-03T11:00:00.000Z","ad_comment","prospect","BR","Gostei das opções de cor apresentadas.","direct_ad_object","pt-BR","","Meta","SIM-AIPHOTO-BR","SIM-BR-LIGHT-B"
"SIM-FB-035","2026-08-25T09:00:00.000Z","ad_comment","prospect","US","The portrait lighting demo looks useful.","direct_ad_object","en-US","","Meta","SIM-AIPHOTO-US","SIM-US-LIGHT-C"
"SIM-FB-036","2026-08-26T10:00:00.000Z","ad_comment","prospect","US","I like the clear side by side photo comparison.","direct_ad_object","en-US","","Meta","SIM-AIPHOTO-US","SIM-US-LIGHT-C"
"SIM-FB-037","2026-08-27T11:00:00.000Z","ad_comment","prospect","US","The editing controls look easy to understand.","direct_ad_object","en-US","","Meta","SIM-AIPHOTO-US","SIM-US-LIGHT-C"
"SIM-FB-038","2026-09-01T09:00:00.000Z","ad_comment","prospect","US","The background editing example looks helpful.","direct_ad_object","en-US","","Meta","SIM-AIPHOTO-US","SIM-US-LIGHT-C"
"SIM-FB-039","2026-09-02T10:00:00.000Z","ad_comment","prospect","US","Nice explanation of the portrait lighting controls.","direct_ad_object","en-US","","Meta","SIM-AIPHOTO-US","SIM-US-LIGHT-C"
"SIM-FB-040","2026-09-03T11:00:00.000Z","ad_comment","prospect","US","I would try this for my travel photos.","direct_ad_object","en-US","","Meta","SIM-AIPHOTO-US","SIM-US-LIGHT-C"
